id,ru_nameg,enres_ids,themes_ids,years_ids,orig_name,description
10,"Код Гиас","5 6 9 2 3","2 3 10 8","0 12","Code Geass","Антиутопия. Британская Империя колонизировала немало стран, в числе которых оказалась Япония. Жители оккупированной Японии не желают мириться с диктатурой и поднимают восстание, в центре которого оказывается ученик местной Академии Лелуш Ламперуж, повелевающего разумом людей. Взяв псевдоним «Зеро», Лелуш становится лидером сопротивления и ведёт сепаратистов к победе, при этом имея личные счёты с Империей, ведь император - его собственный отец.«Код Гиас» R1 и R2 сочетает в себе множество жанров и держит планку классики меха и научной фантастики, уже долгие годы."
11,"Хантер х Хантер","4 5 6 7 2","1 3","10","Hunter x Hunter","Профессия Охотника опасна и трудна, а перечень поручений крайне широк - от убийства чудовищ до поисков клада. Тем не менее, многие авантюристы пускаются во все тяжкие в погоне за мечтой стать прославленным Охотником. Об этом задумывается и совсем ещё юный Гон, отец которого не только избежал смерти, но вдобавок ещё и стал величайшим Охотником в мире ""Хантер х Хантер"". В поисках отца Гон сам вступает в ряды Охотников и отправляется в долгое путешествие, сулящее ему встречи как с новыми друзьями, так и со страшными противниками.Манга и оригинальный сериал «Hunter x Hunter» являются признанной классикой аниме, а недавний ремейк способствует привлечению внимания молодого поколения к истории Гона, доказывая, что она не забыта.обзор Хантер х Хантер."
12,"Дневник будущего","5 6 9 2 3","1","10","Mirai Nikki","Юкитеру Амано или просто Юки - клишейный школьник, внезапно втянутый в затеянную самим Богом игру, победитель в которой займёт его место. Все участники получают по мобильному телефону с особенной для каждого функцией, после чего начинается самая настоящая гонка на выживание. Не дать себя убить - лишь первая проблема Юки; влюблённая в него Юно Гасай, ещё одна участница игры, готова расчленить любого, кто косо посмотрит на парня её мечты. Амано предстоит разобраться, желает ли он вообще силы Бога и как быть с влюблённой в него милой, но абсолютно сумасшедшей Юно.Спустя много лет после выхода в 2011 году «Дневник будущего» любят и охотно вспоминают как вобравшее в себя лучшее из множества других аниме-сериалов зрелище, приковывающее внимание к экрану и не отпускающее до самого конца."
13,"ТораДора","10 11 8","8","12","Toradora!","Внешность бывает обманчива, об этом не понаслышке знает Рюдзи - старшеклассник, которого из-за его грозного вида другие ученики обходят стороной. Он быстро становится школьной знаменитостью, жизнь вроде бы налаживается, однако его мечту о романтической юности разрушает бунтарка Тайга - другая школьная знаменитость и единственный человек, способный дерзить Рюдзи. Им предстоит через многое пройти, чтобы разобраться в своих чувствах друг к другу.История «Toradora!» о соперничестве «Тигра» и «Дракона» причислена к классике романтических комедий о школьной жизни обычных японских подростков."
14,"Бездомный Бог","4 10 6 7","1","8 6","Noragami","Восток - дело тонкое, особенно если дело касается богов. Многообразие японского пантеона на руку далеко не всем, среди местных богов процветает конкуренция за место в умах людей, ведь те, о ком люди совсем позабудут, исчезают. Одному из таких древних мелких божков по имени Ято исчезать совсем неохота, поэтому он устраивается «богом по вызову» и выполняет просьбы людей, попутно охотясь на призраков. Встреченная им девушка Хиёри и новый напарник-дух Юкине становятся бездомному богу Noragami настоящими друзьями и помогают ему осуществить самую заветную мечту - построить свой храм, не подозревая, какое тёмное прошлое, полное боли и горестей, скрывается за беззаботностью Ято.Аниме-сериал «Бездомный Бог» получил немало одобрительных оценок за трогательный сюжет и прекрасное качество прорисовки, но в большинстве своём отзывы идут от женской части зрителей, восхваляющих пронзительные голубые глаза, в которые невозможно не влюбиться."
15,"С нуля: Пособие по выживанию в альтернативном мире","4 6 7 2 3","9","9 13","Zero kara Hajimeru Isekai Seikatsu","Обычный старшеклассник Нацуки Субару много времени проводит за онлайн-играми и он считает свою жизнь очень скучной. Однажды ночью парень отправился в магазин за покупками, и с ним приключилось нечто необъяснимое. Выйдя из магазина, юноша в мгновение ока оказался в другом измерении. Нацуки сразу понял, что какая-то неизвестная сила перенесла его в параллельный мир, и это ничуть не испугало старшеклассника. В первый же час пребывания в неизвестном месте парнишка умудрился вляпаться в неприятности. В тёмном переулке на Нацуки напали грабители, которые хотели его не только ограбить, но и убить. Вначале Субару подумал, что у него есть суперсила и уникальные способности, но он ошибся. Спасла бедолагу воинственная девушка с серебряными волосами, которая обладает магическими способностями. После знакомства ребята отправились на поиски грабителя, но во время расследования они попали в зловещую ловушку. Сумасшедшая воровка напала на друзей и парень вместе с девчонкой умер, но через секунду юноша оказался в том же месте, что и в начале дня словно время пошло вспять. Неизвестная сила оживила парня и вернула в исходную точку. Такой поворот событий не на шутку испугал юношу.Опасные приключения, кровопролитные схватки, а также загадочные события ждут героя аниме ""Re: Zero kara Hajimeru Isekai Seikatsu"". Субару придётся разобраться с мистическим воскрешением, а также попытаться спасти девчонку с серебряными волосами."
16,"Синий Экзорцист","4 5 10 6 7","11 1","10 2","Ao no Exorcist","Долгое время Окумура Рин жил жизнью обычного человека, пока не обнаружил в себе невероятную силу. Оказалось, что он - полукровка и один из сыновей Дьявола, живущий в мире людей. У владыки демонов на наследника свои планы, но Рин, будучи наполовину человеком и прожив с людьми много лет, не желает становиться пешкой в руках Сатаны и вместе с братом Юкио поступает в особую школу демоноборцев, зовущих себя экзорцистами, выбирая сторону людей в грядущей войне.История молодого экзорциста стала хитом 2011 года - замечательный визуальный стиль, музыкальное сопровождение и яркие герои не оставят поклонников сёненов равнодушными."
17,"Убийца Акаме!","4 5 6 7 2","1","8","Akame ga Kill!","Ночной Рейд - группа отступников, выполняющих диверсии против могущественной Империи, чьи земли простираются на целый континент. Мало кто знает, что хладнокровные убийцы, за чьи головы объявлена награда, на самом деле пусть и не совсем благородные, но всё же храбрые освободители и борцы с прогнившей системой, созданной коррумпированным правительством, которому совершенно плевать на бедствующее население Империи, до конца верное своему государю. Простой паренёк Тацуми, выходец из скромной деревушки, оказывается в эпицентре государственного переворота, становясь товарищем каждому в Ночном Рейде.Сюжет «Akame ga Kill!» от и до изобилует неожиданными поворотами, приводящими в итоге к совершенно неординарному финалу. Своей непредсказуемостью и уничтожением устоявшихся шаблонов, а также качественной визуализацией этот хит 2014 года многим пришёлся по вкусу."
18,"Семь смертных грехов","4 5 10 7","5 1","8 9 3 7","Nanatsu no Taizai","Орден Святых Рыцарей - надежда и опора государства Лионесс, однако это лишь верхушка айсберга - на самом деле рыцари узурпировали власть, взяв в плен королевский род, а во всех несчастьях обвинили отряд из семерых прославленных воинов, вынудив их долгие годы скитаться по миру отрезанным друг от друга. Но пришло время освободить семью короля и раскрыть обман рыцарей, а это значит общий сбор для самой разыскиваемой команды королевства - Семи Смертных Грехов.«Nanatsu no Taizai» - образец того, как можно сделать прекрасный сёнен с отличной постановкой битв, имея на руках ещё медленно развивающуюся вселенную и не так уж много сюжетного материала."
19,"Фейри Тейл","4 5 10 6 7","5 1","5 8 3","Fairy Tail","Добро пожаловать в Фиор - королевство магов и колдунов, где покой мирных жителей охраняют волшебные гильдии, выполняющие всевозможные поручения и заказы. Однако гильдия - не только способ заработка. Для многих магов это ещё и семья. В центре событий самая безбашенная гильдия континента - Хвост Феи с её славной историей и сильнейшими магами, а также дурной славой разрушителей всего и вся. Именно в эту гильдию Фейри Тейл мечтает вступить молодая заклинательница духов Люси. Судьбоносная встреча со знаменитым Нацу Драгнилом определяет дальнейшую жизнь героини и все серии в озвучке Анкорд. Её ждут невероятные приключения с Хвостом Феи - гильдией, ставшей для девушки новым домом, новой семьёй - всё это нужно смотреть онлайн.Восходящая звезда сёненов «Fairy Tail» за сравнительно короткий срок успела завоевать сердца множества поклонников приключенческих и комедийных аниме по всему миру.обзор Фейри Тейл."
20,"Город, в котором меня нет","0 1 3","9","9","Boku dake ga Inai Machi","Детство Сатору Фудзинума было наполнено странностями и мистическими видениями. Мальчишка мог видеть не только своё будущее, но и предугадывать катастрофы, которые могли бы привести к гибели людей. Малец не знал, как пользоваться своими способностями, но сейчас, будучи подростком, он умеет контролировать видения. У Сатору обычная жизнь и он долгое время подрабатывает мангакой. Вот только его работы редко принимают редактора, и парень часто расстраивается из-за этого. Однажды Фудзинума ехал на работу, и у него опять появилось видение. Благодаря уникальной способности он смог спасти ребёнка, которого чуть не сбил автобус. Сам же Сатору пострадал и оказался в больнице. Через две недели его выписали из больницы, и он вернулся на работу. После трудового дня парень вернулся домой и обнаружил на полу окровавленное тело матери. В это время в квартиру зашла соседка и увидела окровавленные руки Фудзинума и она вызвала полицию. Парень был шокирован и начал убегать, но в какой-то момент оказался в незнакомом месте. Всё происходящее было очередным видением и ясновидящий перенёсся в прошлое. Теперь парень попытается предотвратить множество трагедий и понять, почему его забросило в прошлое.Спонтанные видения, а также множество загадочных ситуаций ждут Сатору в аниме ""Boku dake ga Inai Machi"". Сможет ли юноша разобраться во всей мистике, которая случается с ним. Кем же окажется убийца матери и удастся ли мальчишке помешать негодяю совершать ужасные преступления?"
21,"Ван Пис","4 5 10 6 7","3 1","14","One Piece","Бороздящие просторы Гранд-Лайна пираты уже отчаялись найти таинственное сокровище легендарного Короля Пиратов Роджера, сулящие нашедшему их счастливчику роскошную жизнь. Спустя годы для большинства авантюристов мифический клад превратился в красивую легенду, но только не для молодого Монки Д. Луффи, который всей душой мечтает найти тайник Роджера, доказав, что достоин зваться новым Королём Пиратов. Единственное, что Луффи ставит выше собственной мечты, так это своих друзей, которые помогают юному капитану на пути к славе.Аниме «One Piece» по праву можно считать классикой сёнена для детей и подростков - все серии которого можно смотреть онлайн, а на приключениях ищущего тот самый Ван Пис Луффи выросло не одно поколение.обзор Ван Пис."
22,"Блич","4 5 10 6 7","3 1","15","Bleach","Встреча с потусторонним переворачивает жизнь японского школьника Ичиго Куросаки. Узнав о Сообществе Душ и Пустых, он ввязывается в безумный круговорот событий и сам в итоге становится проводником душ в загробный мир - Шинигами. Движимый желанием защитить дорогих ему людей, Ичиго не сразу осознаёт, какая сила в нём сокрыта…Долгое время «Bleach» считался эталоном сёнена 21 века и конкурировал по популярности разве что с «Наруто», однако Анкорд и прерванная трансляция поставила многоточие в судьбе Блич - столь известного аниме-сериала онлайн. Несмотря на длительный перерыв, поклонники манги всё ещё надеются на продолжение столь полюбившейся за многие годы истории.обзор Блич."
23,"Этот прекрасный мир","4 10 7","6 5","9 2","Kono Subarashii Sekai ni Shukufuku wo!","Умерев самой нелепой из возможных смертей, Казума Сато - типичный затворник-игроман - знакомится с темпераментной богиней Аквой, которая готова подарить несчастному ещё один шанс, даровав новую жизнь в альтернативном фэнтези-мире. Однако Сато с его опытом бывалого игрока выбирает в качестве бонуса при выживании в новом мире… саму Акву, которая на деле оказывается бесполезной, тем временем начинается самое настоящие безумие!"
24,"Гуррен-Лаганн","4 5 10 8 6 9","10","16","Tengen Toppa Gurren Lagann","Мир больше не принадлежит людям. Человечество ушло под землю, где остатки людской расы плетут жалкое существование, практически полностью позабыв о былом величии. В подземных трущобах живёт мальчик по имени Симон - обычный парень, жизнь которого круто меняется после встречи с обаятельным и харизматичным типом Каминой, который заставляет Симона поверить в себя и вознестись до небес. Так начинается невероятная череда событий, превратившая простого рудокопа в самое совершенное создание во вселенной.Самый что ни на есть классический и по-настоящему легендарный сёнен «Гуррен-Лаганн» - это стандартная история становления юноши, полная радости и слёз, к финалу выходящая за рамки человеческого понимания и поднимающая планку пафоса в аниме на новый уровень."
25,"Пожиратель душ","4 5 10 7","1","12","Soul Eater","Добро пожаловать в Академию Шинигами - место, где обучаются Хозяева и их Оружия. Здесь творится самое настоящее безумие, а руководит парадом никто иной, как господин Смерть. Ему ведомо о возвращении древнего зла под именем Кишин, которое должно быть остановлено, иначе миру придёт конец. И в спасении мира не последняя роль достанется Маке и Соулу - Хозяину и Оружию, по совместительству главным героям аниме на.«Пожиратель Душ» стал классикой сёнена, заслужив любовь зрителей обилием запоминающихся эпатажных персонажей и трогательной историей настоящей дружбы на фоне безумных приключений."
26,"Ковбой Бибоп","4 5 10 6 9","12","17","Cowboy Bebop","Человечество было вынуждено колонизировать Солнечную систему, ведь после техногенной катастрофы на Земле Луна была разрушена. Учёным удалось создать гиперпространственные врата, которые позволяют быстро перемещаться между планетами. Уникальная технология ускорила освоение новых земель, а также строительство колоний. Вот только чиновники не ожидали, что гиперпространственными вратами начнут пользоваться преступные синдикаты. Влияние бандитов стало настолько велико, что вскоре появились охотники за головами. Самыми знаменитыми охотниками являются Спайк Шпигель, который работает вместе с напарником Джетом Блэком. Ребята давно привыкли к безумным схваткам с кровожадными головорезами, а поэтому их тяжело чем-то удивить. Джет и Спайк договорились, что на их корабле ""Бибоп"" никогда не будет посторонних людей. На очередном задании друзья наткнулись на генетически модифицированную собачонку по имени Эйн. В составе команды появился новый охотник за головами, но не последний. Очередным исключением стала Фэй Валентайн, которая является первоклассной мошенницей, а также компьютерный гений Радикал Эдвард. Спайк пренебрёг собственными принципами и теперь на корабле ""Бибоп"" четыре профессионала. Матёрые охотники готовы отправиться на поиски самого опасного преступника, который может стать причиной настоящего Апокалипсиса.Общепризнанной классикой японской анимации можно смело назвать аниме ""Cowboy Bebop"". Новоиспечённых напарников ожидают головокружительные приключения, а также невероятно зрелищные схватки. Вскоре Шпигель и Блэк будут благодарить судьбу за то, что они встретили Фэй и Эйн, ведь их враг окажется искусным головорезом."
27,"Психопаспорт","5 9 3","0","4 8 7","Psycho-Pass","2112 год, Япония сделала огромный скачок в науке, создав утопичную идеалистическую модель общества, которая для философов прошлого была непостижима. Причинной этого послужила замену старого государственного аппарата на многофункциональную систему под названием “Сивилла”. Данная система позволяет рассчитать Коэффициент Преступности – возможность того, что человек может совершить преступление. Он представлен в виде числового значения. Те, чей коэффициент немного превышает норму, “Сивилла” отправляет на лечение, а тех, кто перешёл границу безвозвратно – приговаривают к уничтожению. Это помогло снизить уровень преступности почти до нуля. На первый взгляд, система не имеет никаких изъянов. Но её слабость кроется в людях, которых она защищает. Невозможно полностью избавиться от преступников, и случаи насилия, хоть и редко, но будут происходить.Система способная только судить, нуждается в тех, кто будет исполнять приговор. Люди, что почти переступили черту, что не боятся “запятнать” свой “психопаспорт” – именно в них она и нуждается. Бюро Общественной Безопасности располагает такими людьми."
28,"Паразит","6 9 2 3","7","8","Sei no Kakuritsu","Пришельцы, именуемые паразитами, ассимилируются в мире людей, захватывая человеческий мозг и получая контроль над телом. Человечество оказывается перед лицом уничтожения, даже не подозревая об этом, пока правду о паразитах не распространяет Изуми - школьник, поборовший паразита и не позволивший сущности завладеть его мозгом. Ему-то и предстоит разобраться в тайне, стоящей за этими причудливыми организмами, а также сразиться за судьбу людской расы.«Паразит: Учение о жизни» - экранизация культовой манги , занимающей 12 позицию в номинации лучшей манги всех времён от Japan Probe, получившая признание и ставшая хитом 2014 года."
