id,ru_nameg,enres_ids,themes_ids,years_ids,orig_name,description
152,"Дети Индиго из другого мира","5 10 7 0","9","1","Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?","Обычный школьник Изаёи Сакамаки вечно ищет приключений на свою голову. Учёба его мало интересует, и он мечтает о великих подвигах, а также опасных приключениях. Одного дня парню пришло необычное письмо, которое он взял в руки без опасения. Этот опрометчивый поступок закончился тем, что он переместился в параллельный мир. Перед собой мальчишка увидел ещё двух подростков, а именно Каскабэ Ю и Куду Аске. Ребята не понимали, где они оказались, и через одно мгновение перед ними появилась странная девушка. Она назвала себя Чёрным кроликом, и ей пришлось объяснить новоприбывшим школьникам об этом месте. Оказалось, что они попали в фэнтезийный мир, где происходят битвы талантов, ведь у каждого жителя есть своя внутренняя энергия и набор необычных навыков. Чёрный кролик состоит в клане ""Безымянных"", которые долгие десятилетия занимали первые позиции среди других сообществ. Вот только несколько лет назад на ""Безымянных"" было совершено покушение могущественным демоном, который уничтожил большую часть соклановцев. Чёрный кролик специально пригласила Изаёи в этот мир, чтобы тот помог ей восстановить былую славу сообщества. Трём школьникам придётся развить уникальные таланты и начать участвовать в опасных состязаниях.Невероятная история наполнена волшебством и красочными сражениями между сильнейшими противниками. Возникло желание посмотреть аниме ""Mondaiji"", тогда окунитесь в фэнтезийный мир. Всех новоиспечённых воинов ждут опасные испытания и множество загадок и открытий."
153,"Безоблачное завтра","8 6 7","9","1","Nagi no Asu kara","С давних времён подводные люди жили в недрах океанах, и им было запрещено появляться на суше. Нарушители закона обрекались на извечную жизнь среди обычных людей и этого все боялись. Друзья Манака и Хикари всю жизнь учились в школе морского царства, и они не подозревали, что их ждёт необычная судьба. Однажды декан школы объявил о том, что заведение закрывается, и друзья обязаны перебраться на сушу. Вначале это их испугало, но они смогли успокоиться, когда узнали, что там учатся товарищи. Канамэ и Чисаки уже долгое время учатся на поверхности. Первый учебный день прошёл не очень благоприятно, ведь Хикари вёл себя очень грубо и этим вызвал недовольство одноклассников. После занятий Манака с другом отправилась к местному шаману, чтобы сделать ему преподношение, но там произошёл неприятный инцидент. Девчонка нагрубила Урокко, и он проклял её. Теперь на колене у школьницы появилась рыбья голова, что вызвало насмешки всех наземных одноклассников. Хикари попытался утешить подругу, но та убежала в лес, где упала и чуть не умерла от обезвоживания, но девчонку спас Цумуго. Парень сразу же влюбился в симпатичную девочку из морского царства. Теперь у Хикари появился настоящий конкурент, которого нужно обыграть и завоевать сердце возлюбленной.История подростковой любви и борьбы за внимание красавицы ждёт зрителя в аниме ""Nagi no Asukara"". Парень из морского царства намерен приложить все усилия, чтобы обойти земного выскочку. Из смелых ухажёров останется лишь один кто будет достоин сердца Манака."
154,"Эксперименты Лэйн","6 9 0 1 3","9","17","Serial Experiments Lain","Всю жизнь Лейн Ивакура была реалисткой и никогда не задумывалась о виртуальном мире. Информационные технологии за последние годы достигли своего пика развития и всё больше подростков погружаются во всемирную паутину. Некоторые из молодых людей предпочитают виртуальный мир вместо реального, и они живут там обычной жизнью. Во всём этом Лейн не разбиралась, а потому однажды решила заняться исследованием интернета. Недавно родители Ивакуры купили ей ноутбук, а потому девчонка решила, что пришло время воспользоваться им. К удивлению симпатичной девчонки виртуальный мир оказался очень большим, а также доволе интересным. Лейн не успела вникнуть во все азы интернета, как вдруг её подруга покончила жизнь самоубийством. Оказалась, что после смерти от умершей девушки продолжали приходить письма на почту друзей. Ивакура решила также проверить непрочитанные письма и обнаружила необычное сообщение от подруги детства. Школьница решает разобраться в этой необычной гибели одноклассницы и для этого ей нужно погрузиться с головой во всемирную паутину.У вас давно возникло желание понаблюдать за интригующей историей с элементами фантастики, тогда скорей смотреть аниме ""Serial Experiments Lain"". Безграничный виртуальный мир хранит в себе много тайн и запретной информации. Гибель подруги - это лишь начало всех необычных смертей. Пытливой девчонке придётся во всём разобраться, чтобы спасти как можно больше жизней невинных подростков."
155,"Отчёт о буйстве духов","5 10 0","11 17 1","24","Yuu Yuu Hakusho","Четырнадцатилетний Юсуке Урамэси известный двоечник и забияка, которого боятся все ученики школы. Юноша ненавидит учёбу и при каждой неприятности пускают в ход свои кулаки. Такое поведение настораживает руководство учебного заведения, а потому мальчишке делают неоднократные предупреждения. Вот только Урамэси не обращает внимания на упрёки старших и продолжает бунтовать. Однажды юноша переходил дорогу и заметил, как на маленькую девочку едет автомобиль. Бесстрашный школьник кинулся под машину и спас бедолагу ценой своей жизни. После смерти Юсуке попадает в подземный мир, где его ждал повелитель тьмы. Никто не мог подумать, что бунтарь окажется добродушным человеком, который сможет пожертвовать собственной жизнью ради другого человека. На плечи парнишки была возложена важная миссия по борьбе с демонами и ужасными существами, которые угрожают человечеству. Храбрый боец получил мистическое оружие, с помощью которого можно побеждать кровожадных тварей. Судьба уготовила смелому школьнику непростое испытание, которое он должен пройти с достоинством. Вскоре у парня появятся верные друзья и они разделят с ним нелёгкую ношу.Впереди подростка ждут опасные схватки с могущественными демонами, и увидеть это можно в аниме ""Yu Yu Hakusho"". Хватит ли боевых навыков у подростка, чтобы противостоять сильным противникам и при этом остаться в живых? Заслужит ли он право вернуться в мир людей?"
156,"Восточный Эдем","5 8 6 9 1 2","9","5","Higashi no Eden","Саки Морими - это настоящая мечтательница и она учится в университете, а к тому же девушка любит путешествовать. Очередная поездка в Европу стала для неё судьбоносной, ведь там она случайно повстречала необычного парня Токидзаву. Морими решила сделать для себя экскурсию по Вашингтону и по случайности бросила монетку в фонтан возле Белого Дома. За этот поступок девчонку хотела арестовать полиция, но спас её от них голый парень, который держал в руках пистолет. Странности на этом не закончились, ведь Саки отдала спасителю шапку, шарф и своё любимое пальто. Вот только мечтательница забыла, что в её одежде были документы, и она решила отыскать голого спасителя. Волею судьбы ребята встретились, и Саки узнала, что Токидзава страдает амнезией, и он не помнит своего прошлого. После длительного общения и расспросов весёлой красавицы подростки отправились на поиски жилища паренька. К несчастью, дом был разрушен, а в памяти бедолаги всплыла информация, что он японец. Авантюристка Морими предлагает новоиспечённому другу отправиться на поиски воспоминаний и правды о жизни бедолаги. По приезде в Японию ребят ждёт много приятных и неблагоприятных новостей, которые дают ход новым событиям. Детективная история с элементами романтики ждёт зрителя в аниме ""Higashi no Eden TV"". Саки готова на любые трудности и жертвы, чтобы помочь забывчивому подростку вспомнить о своей жизни. Неужели между ребятами зародиться не только дружба, но и что-то более серьёзное?"
157,"Вельзепуз","4 5 10 7","11 8 1","10","Beelzebub","Если у школы, где учится Ога Тацуми, репутация хуже некуда, то у самого Оги тем более. Он - гроза всех школьников, одним своим видом вселяющий ужас каждому, кто посмеет ему перечить. Однако суровые будни заканчиваются, когда Ога находит у реки младенца и примеряет на себя роль заботливой няньки, кардинально меняя имидж. Суровые будни заканчиваются… и начинаются очень суровые, ведь малыш никто иной как сын самого Дьявола!«Вельзепуз» - безбашенная комедия с элементами боевика, шинкующая шаблоны о сильных персонажах, гопниках, извращенцах, да и о жанре сёнена в целом."
158,"Признания","10 11 8","8 1","2","Tsurezure Children","Школьную любовь переживают все подростки и каждый из них реагирует на это чувство по-своему. Некоторые способны тайно любить человека, но они не способны признаться в своих чувствах. Другие же наоборот готовы рассказывать о своей влюблённости на каждом шагу. Харухико Такасэ занимается футболом, и он выглядит довольно симпатично. Вот только парень очень стеснительный и он никак не может набраться смелости, чтобы признаться в любви очаровательной однокласснице. За спортсменом бегают многие девушки, но они не для него совсем неинтересны. Саки Канда является той желанной и возлюбленной Такасэ и девчонка обладает не только красотой, но и аналитическим складом ума. Школьница не имеет комплексов и всегда ведёт себя смело. Одного дня девчонка не выдержала и пригласила Харухико на свидание, чем озадачила скромного футболиста. Парнишка не догадывается, чем закончится долгожданное свидание и кем по-настоящему является Канда. Отличница скрыла от Такасэ, что она страдает от навязчивых идей. Девчонка влюбилась в спортсмена, и теперь она готова на всё, чтобы сделать мальчишку своим ухажёром.Сумасшедшая история любви, а также необычных ухаживаний показана в аниме ""Tsurezure Children"". Саки никогда не отступает от своих намерений и в этот раз она готова перегнуть палку. Харухико давно мечтал о взаимной любви от Канды и теперь он получит эти чувства сполна."
159,"Хроники Акаши","4 7","5 8","2","Rokudenashi Majutsu Koushi to Akashic Records","Феджит – городок, в котором расположена одна из лучших магических академий, где преподают как теорию с историей, так и практику магических навыков, для юных волшебников. Там находятся лучшие преподаватели, профессионалы своего дела… Кроме одного учителя. Именно он и становится наставником главной героини – Сикстины Фибель."
160,"Некий научный Рейлган","5 10 9","3","5 1 13","Toaru Kagaku no Railgun","В городе Академград живут подростки со сверхъестественными способностями, а называют их эсперами. Большая часть жителей городка ученики, но также бок о бок с ними живут обычные люди. Академград был построен для правильного развития и обучения эсперов, которое делится на пять уровней, где ноль — это самый слабый, а пятый уровень очень редкий и опасный. Микото Мисака обладает способностью подчинения молнии, а потому она является эспером пятого уровня. Милая девушка может уничтожить весь город за одно мгновение. Микото удалось разработать собственную технику под названием Рейлган, которая способна разгонять даже маленькую монетку до невероятной скорости, что является смертоносным оружием. О сокрушительной силе Мисаки знают все студенты, и они давно смирились с этим кроме Куроко Сирай. Девчонка имеет четвёртый уровень, и её сила заключается в телепортации. Сирай часто вызывает на поединок Микото, но никак не может её победить, а потому она решает начать нечестную игру. Мисака ничего не знает об этом, и она продолжает дружелюбно относиться к Куроко.Большое количество схваток с использованием различных навыков и магических способностей можно увидеть в аниме ""Toaru Kagaku no Railgun"". Сильнейшая девушка-эспер никогда не проигрывала противникам, но теперь на кону стоит дружба. Девчонка долгое время тренировалась, а потому в её арсенале есть припрятанный козырь, что не очень понравится завистливой Сирай."
161,"Покемон","4 10 9 7","9","25 26 11 8 9 13","Pokemon","Слово «Покемон», ставшее нарицательным, пожалуй, знают все, даже люди, далёкие от аниме-индустрии. История и мультик о мальчике Эше, живущем мечтой стать величайшим Мастером Покемонов - необычных созданий, живущих вместе с людьми, является чуть ли не прародительницей большинства фантастических и приключенческих аниме, чтобы их смотреть онлайн, закладывая основы канона жанра. «Pokemon» является одной из самых крупных и прибыльных медиафраншиз современности, а длинный путь совершенствования и тренировок Эша и его вечного спутника Пикачу продолжается до сих пор."
162,"Академия ведьмочек","4 10 7","5 8","2","Little Witch Academia","Как много волшебных школ открывали и закрывали свои двери за последние пару десятков лет? Для японской анимации недостаточно - встречайте «Академию ведьмочек» - весёлую историю о девочке Акко, мечтающей научиться колдовать и открывающую для себя удивительный мир магии в специализированной для занятий волшебством школе."
163,"91 день","6 2","13","9","91 Days","Одной из излюбленных тем для японской анимации являются разборки мафиозных кланов, и на этот раз действие переносится не в саму Японию и даже не в Италию, а прямиком в США, где молодой человек по имени Анджело стремится отомстить мафиозному клану, убившему его семью. Однако происходящее, как это часто случается, успевает принять совершенно разные обороты, а правда переписывается прямо на ходу."
164,"Тайные желания отвергнутых","8 6","8","2","Kuzu no Honkai","Это весьма нетипичная романтическая история о фиктивных отношениях, в которых каждый из «влюблённых» испытывает чувства не друг к другу, а к своим учителям, которым о своих чувствах, естественно, напрямую сказать не могут, изображая счастливую молодую пару. Уставшим от банальной романтики и однообразия сюжетов рекомендуется."
165,"Полулюди","5 0 1 2","7","9","Ajin","Во всём мире начала появляться новая форма жизни и люди прозвали её адзин. Эти существа обладают невероятными физическими силами, а также способны вселяться в тела обычных людей. Самое страшное заключается в том, что адзины бессмертные, и они могут восстанавливаться при тяжёлых ранениях. Вскоре полулюди стали мишенью для охотников за трофеями. Наёмники ищут адзинов и разбирают их по частям, а потом продают руки, ноги и даже сердце за крупную сумму. О происхождении полулюдей ничего не известно и этот феномен остаётся загадкой. Нагао Кеи слышал о существовании могущественных существ, но никогда не мог подумать, что станет одним из них. Однажды парень переходил дорогу и его сбил автобус, но смерть не наступила. Тело мальчишки начало регенерироваться и он понял, что стал одним из адзинов. Охваченный паникой школьник сбежал с места аварии, и он начал искать убежище, чтобы спастись от преследователя. Опытный охотник напал на след Нагао, и он попытался убить паренька, но на помощь пришёл Кайто. Гений пообещал испуганному школьнику, что поможет избавиться от проклятия. С этих пор судьбы двух парней тесно связаны и им придётся преодолеть множество трудностей, которые повстречаются на их пути.Вам не хватает запутанной истории с элементами кровопролитных сражений, тогда скорее смотреть аниме ""Ajin"". Кеи оказался необычным получеловеком, а потому он заинтересовал чокнутого профессора Тосаки, который хочет заполучить уникальный образец. Мальчишке нельзя доверять никому, кроме самого себя и верного друга Кайто."
166,"Истории мечей","4 5 8","13 17","11","Katanagatari","Жестокое правление князя Хиды привело к настоящему хаосу, и страну накрыла волна множественных сражений. Битва могла продолжаться бесконечно, если бы не появился Муцуэ Ясури. Он был не простым воином, а настоящим мастером рукопашного боя, который возглавлял собственную школу. Уникальная техника Муцуэ стала решающей в войне и с помощью неё мастером была закончена длительная война. По приказу сёгуната Ясури отправляют на секретный остров, где он сможет спокойно жить. Мастеру удалось провести двадцать лет на острове, и за это время у него появился наследник по имени Ситико. Мальчишка оказался умелым учеником, а потому отец раскрыл ему все тайны уникальной техники. Старшая сестра Нанами также владеет боевыми искусствами, но она не любит кровопролитных сражений. После смерти отца ребята продолжали изнурительные тренировки и добились неимоверного мастерства. Одного дня на остров прибыл Тогамэ, которого отправило правительство, чтобы тот оповестил Ситико о его призыве на войну. Оказалось, что тёмный алхимик Сикидзаки создал двенадцать могущественных мечей и их владельцев невозможно победить. Ситико придётся применить уникальную технику, чтобы уничтожить сильнейшего врага.Любителям боевых искусств и ярких сражений советуем посмотреть аниме ""Katanagatari"". Нанами вместе с братом отправиться в опасное путешествие, которое сделает их только сильней. Длительные тренировки и секретное мастерство отца поможет молодому мастеру в битве с врагами."
167,"Альдноа Зеро","5 9","10 12 2","8 6","Aldnoah","Технологии человечества никогда бы не дошли до таких высот, если бы не были найдены гиперпространственные врата на Марсе. После этой находки ход истории полностью изменился, и люди смогли путешествовать на красную планету. Со временем правительство решило отправить колонистов на Марс и это закончилось тем, что на планете была создана новая империя. Технологии марсиан превосходили земные, а потому люди, оставшиеся на Земле, пожелали заполучить их. Всё это привело к жестокой войне, которая длилась много десятилетий. Во время сражений была уничтожена луна и много мирных граждан. Марсианская принцесса не могла больше смотреть на бессмысленные смерти народа. Она решает навестить Землю, как посол мира и наладить отношения между двумя планетами. Вот только правительство Марса использовало храбрую девушку для того, чтобы начать очередное вторжение на Землю. Во время полёта на молодую принцессу совершили покушение, и после этого Империя открыла огонь по своему врагу. Это стало началом новой безжалостной борьбы между двумя противниками.Желаете стать частью космических сражений и увидеть, чем закончится эпическая битва, тогда смотрите аниме ""Aldnoah.Zero"". Между двумя враждующими сторонами никогда не наступит мир, если не появится отважный спаситель. Смелому парню придётся пройти тяжёлый путь, чтобы добиться мира между двумя планетами."
168,"Красноволосая принцесса Белоснежка","8 6 7","18","6 9","Akagami no Shirayuki-hime","Красноволосая Шираюки живёт в маленькой деревне и она занимается травничеством. Этому ремеслу девчонку научил дедушка, который недавно умер. Девчонка тяжело пережила смерть дедули, но вскоре нашла в себе силы жить дальше. Однажды в королевство, где живёт Шираюки, приехал дерзкий принц, который заметил красноволосую девчонку. Дворянин сразу же влюбился в очаровательную травницу, и он решил на ней жениться. Вот только свадьба не входила в планы Шираюки и девушка решает сбежать в другое королевство. Такой опрометчивый поступок был вознаграждён, и во время путешествий очаровательная девчонка повстречала Зена. Этот молодой человек имеет такой же бунтарский характер, а также он любит путешествовать. Мальчишка ненавидит персон из высшего общества и именно это объединило новоиспечённых друзей. Красавица решает продолжить странствие с весёлым напарником, который способен удивлять её каждый день. Смелые ребята отправились на поиски своей судьбы, и они не боятся всех трудностей, которые повстречаются им в нелёгком путешествии. Противный принц не позволит далеко убежать его суженой, а потому начнёт преследовать бедолагу. Интересно узнать все подробности странствий красноволосой девушки, тогда смотрите аниме ""Akagami no Shirayukihime"". Зен не позволит наглому дворянину заполучить его подругу и для этого у него припасён козырь в рукаве."
169,"Геймеры","10 11 8","8","2","Gamers!","Кейта Амано – обычный старшеклассник, единственным увлечением которого являются непосредственно игры. Он играет в их в любое время дня и ночи, и получает от этого только удовольствие. И так продолжалось каждый день. Чего уж там, парень даже и не влюблялся ни разу. Так бы он и сидел не выпуская из рук приставку, если бы не повстречал первую красавицу и идола его школы Тендо Карэн. Красивая, умная… и, как он сам – геймерша, что может ночами засиживаться за приставкой проходя какого-либо босса в MMORPG. И встретились они в самом подходящем месте, а именно, в магазине игр. Там Тендо рассказала нашему герою о своей любви к играм и предложила вступить в клуб игр, которым она собственно и руководила. Правда, Амано впервые слышал о нём, но всё же решился прийти туда и посмотреть на него. Прийдя туда и познакомившись с новыми членами, даже поиграв пару-тройку часов, наш главный герой отказался от участия в клубе, из-за того, что он играет ради удовольствия, а не ради наград и титулов. Именно тут вы сможете увидеть любовную историю вместе с играми."
170,"Готика","8 6 1","13","10","Gosick","С недавних пор в академии Святой Маргариты учится Кадзуя Кудзе, который приехал из-за границы. В этом учебном заведении учатся самые талантливые и одарённые ученики страны Собьюр. Появление Кадзуя стало сенсацией, ведь он выглядит иначе, а также имеет своеобразное мышление. Одноклассники сразу прозвали паренька ""Чёрным Жнецом"" и тут же отстранились от него. Кудзе не мог понять причину такой ненависти сверстников, и он решил сходить в библиотеку, чтобы узнать о своём прозвище. Во время поиска ответа на свой вопрос школьник повстречал необычную девчонку по имени Викторика де Блуа. Она также выглядела своеобразно и напоминала коллекционную куклу. Оказалось, что школьница обожает не только читать детективные романы, но и быть частью мистических расследований. Судьбы двух необычных подростков переплелись в момент их встречи и теперь ребят ждут незабываемые приключения. Первое дело юных сыщиков окажется лишь началом длительного расследования, в котором придётся разобраться подросткам. Аналитический склад ума и жажда к расследованиям поможет Кудзе и Викторике узнать много секретов и тайн города.Умопомрачительная детективная история показана в аниме ""Gosick"". Казалось бы, в преступлениях нет ничего интересного, но юные сыщики докажут, что изучение таинственного мира - это интересное занятие. Неужели этих ребят будет связывать лишь жажда к детективам? Возможно, между друзьями возникнут романтические отношения, которые смогут укрепить их узы?"
171,"Мартовский лев","11 6","4","9 2","3-gatsu no Lion","Семнадцатилетний подросток Рей Кирияма долгое время жил у приёмных родителей, а потому юноша решил отделиться от семьи. С ранних лет мальчишка увлекался игрой в Шоги, и со временем он стал настоящим профессионалом. Детское увлечение дало возможность подростку зарабатывать на этом деньги и Рей надеялся, что финансов хватит на самостоятельную жизнь. Вот только школьник не ожидал, что жить одному очень трудно и с каждым днём на плечи паренька взваливается всё больше проблемы. Вначале испортились отношения с приёмными родителями, а потом и одноклассники отвернулись от юноши. Смышлёный парень чуть не впал в депрессию, ведь в профессиональной карьере также произошёл неожиданный спад. Со всеми трудностями Кирияме помогают справиться забавные сёстры. Моммо, Акари и Хината проживают в скромном доме, в котором они всегда рады видеть друга. Сестрички заботятся Кириямой, а также уделяют ему огромное внимание и необходимую поддержку. Рей всё чаще начал проводить время с сёстрами, и их компания благоприятно влияет на школьника. Самостоятельная жизнь таит в себе много неожиданных трудностей и всех их придётся преодолеть парнишке.Судьба школьника не из лёгких и он всячески будет стараться стать достойным мужчиной, а увидеть его попытки измениться можно в аниме ""3-gatsu no Lion"". Три сестры сыграют важную роль в жизни профессионального игрока в Шоги. Неужели девчонки намерены всерьёз взяться за своего лучшего друга?"
172,"Трогательный комплекс","10 8","18","16","Lovely Complex","Риса Коидзуми всю жизнь переживает из-за своего высокого роста. Девчонку вечно подкалывают одноклассники и насмехаются над ней. Риса никогда не видела преимуществ в своём росте, а потому старается не заводить знакомства с другими людьми, но у неё есть верные друзья. Такая же проблема была у Ацуси Отани, но всё наоборот, и он имеет низкий рост. Мальчишка любит играть в баскетбол, но из-за своей физиологии ему это удаётся очень тяжело. Вскоре ребята поступают в старшую школу, где их сделали старостами одного класса. Насмешек со стороны одноклассников стало ещё больше, ведь необычных учеников начали называть ""комедийным дуэтом"". Первое знакомство между старостами закончилось неблагоприятно, и школьники остались при своих мнениях. Судьба решила сыграть над подростками злую шутку и им придётся провести всё лето вместе. Старостам пришлось вновь познакомиться на дополнительных занятиях и в этот раз всё было совсем иначе. Оказалось, что проблемы Рисы и Ацуси очень похожи и это сблизило ребят. Впереди новоиспечённых друзей ждёт весёлое времяпровождение и знакомство с общими товарищами. История необычного дуэта заставит задуматься каждого зрителя, а потому советуем смотреть аниме ""Lovely Complex"". Веселье, радость, а также большое количество проблем ждёт низкого мальчишку и высокую красотку. Смогут ли ребята доказать, что рост никак не влияет на дружеские, а также романтические отношения?"
173,"Берсерк","5 7 0 2","11 7 5 2","25 9 2","Berserk","Аниме Берсерк – это история про человека, который именует себя Черным Мечником. Однажды он осветил своим приходом город, которым владел деспот. Лишь он мог победить не только подручных, но и самого короля, побороть всех врагов, полагаясь на свой опыт и превосходные умения в сражении, защищая близких и борясь постепенно с собственными «демонами»… И не только собственными."
