"полиция",0
"сёнен",1
"военное",2
"суперсила",3
"игры",4
"магия",5
"пародия",6
"ужасы",7
"школа",8
"-",9
"меха",10
"демоны",11
"космос",12
"историческое",13
"спорт",14
"вампиры",15
"самураи",16
"боевые искусства",17
"сёдзё",18
"музыка",19
