2006,0
2013,1
2017,2
2018,3
2012,4
2009,5
2015,6
2019,7
2014,8
2016,9
2011,10
2010,11
2008,12
2020,13
1999,14
2004,15
2007,16
1998,17
1996,18
1986,19
1989,20
2005,21
2000,22
2001,23
1992,24
1997,25
2002,26
2003,27
